id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
788,Phil Sellers,185,83,Bowling Green State University,30,262,37%,203,291,688,1
789,Lonnie Shelton,185,83,Bowling Green State University,31,163,38%,98,239,411,0
790,James Silas,185,83,Bowling Green State University,32,78,41%,38,97,189,0
791,Ralph Simpson,198,95,Oklahoma City University,22,106,44%,42,43,247,0
792,Al Skinner,193,90,New York University,22,63,34%,84,41,186,0
793,Keith Starr,193,90,New York University,22,36,36%,44,26,102,0
794,Earl Tatum,193,90,New York University,22,27,31%,40,15,84,0
795,Brian Taylor,201,104,Drake University,22,244,34%,220,81,645,1
796,Fatty Taylor,201,104,Drake University,23,225,43%,191,55,592,1
797,Ira Terrell,201,104,Drake University,24,258,39%,272,62,726,1
798,Claude Terry,201,104,Drake University,25,374,40%,276,130,963,1
799,David Thompson*,201,104,Drake University,26,282,39%,214,94,733,1
800,Monte Towe,201,104,Drake University,26,141,39%,110,50,367,0
801,Dave Twardzik,201,104,Drake University,26,141,40%,104,44,366,0
802,Andy Walker,201,104,Drake University,27,233,47%,145,83,585,1
803,Wally Walker,201,104,Drake University,28,303,39%,261,206,810,1
804,Lloyd Walton,201,104,Drake University,28,254,39%,220,176,678,1
805,Henry Ward,201,104,Drake University,28,49,37%,41,30,132,0
806,Richard Washington,201,104,Drake University,29,28,39%,24,22,76,0
807,Marvin Webster,201,104,Drake University,29,9,32%,12,12,29,0
808,Bob Wilkerson,201,104,Drake University,29,19,44%,12,10,47,0
809,Chuck Williams,193,86,Duke University,22,87,42%,61,44,215,0
810,Chuckie Williams,193,86,Duke University,23,113,38%,36,66,255,0
811,John Williamson,193,86,Duke University,24,421,46%,214,226,992,1
812,Willie Wise,193,86,Duke University,25,610,44%,344,351,1493,1
813,Larry Wright,193,86,Duke University,26,697,46%,452,339,1775,1
814,Tate Armstrong,193,86,Duke University,27,656,46%,378,360,1632,1
815,Greg Ballard,193,86,Duke University,28,630,48%,358,332,1562,1
816,Kent Benson,193,86,Duke University,29,685,47%,441,471,1720,1
817,Otis Birdsong,193,86,Duke University,30,651,49%,172,337,1445,1
818,Jim Bostic,193,86,Duke University,31,541,47%,192,305,1250,1
819,Alonzo Bradley,193,86,Duke University,32,234,46%,87,153,539,1
820,Mike Bratz,193,86,Duke University,33,58,48%,29,39,139,0
821,Wayman Britt,196,97,University of Kentucky,22,47,32%,52,19,137,0
822,Kenny Carr,196,97,University of Kentucky,22,14,25%,32,10,53,0
823,Bob Carrington,196,97,University of Kentucky,22,33,38%,20,9,84,0
824,Wesley Cox,206,106,Grambling State University,22,629,43%,407,133,1560,1
825,Charlie Criss,206,106,Grambling State University,23,438,43%,399,91,1178,1
826,Mark Crow,206,106,Grambling State University,24,635,49%,487,126,1628,1
827,Brad Davis,206,106,Grambling State University,25,659,49%,509,159,1685,1
828,Walter Davis,206,106,Grambling State University,26,704,52%,435,190,1733,1
829,Jacky Dorsey,206,106,Grambling State University,27,702,51%,464,161,1755,1
830,James Edwards,206,106,Grambling State University,28,614,46%,381,148,1527,1
831,Al Fleming,206,106,Grambling State University,29,60,44%,39,22,147,0
832,Bayard Forrest,206,106,Grambling State University,30,334,47%,124,126,760,1
833,Mike Glenn,206,106,Grambling State University,31,84,46%,53,30,210,0
834,Glen Gondrezick,201,99,Creighton University,21,140,37%,164,48,363,0
835,Rickey Green,201,99,Creighton University,22,70,41%,61,22,175,0
836,Greg Griffin,201,99,Creighton University,23,207,43%,213,74,527,1
837,Ernie Grunfeld,201,99,Creighton University,24,399,46%,424,162,1097,1
838,Joe Hassett,201,99,Creighton University,25,241,42%,333,140,686,1
839,Eddie Johnson,201,99,Creighton University,26,373,46%,412,214,996,1
840,Larry Johnson,201,99,Creighton University,27,338,43%,416,247,961,1
841,Marques Johnson,201,99,Creighton University,28,485,47%,560,343,1403,1
842,Eddie Jordan,201,99,Creighton University,29,400,47%,380,251,1066,1
843,Bernard King*,201,99,Creighton University,30,340,44%,337,186,944,1
844,Toby Knight,201,99,Creighton University,31,312,42%,344,224,868,1
845,John Kuester,201,99,Creighton University,32,315,43%,333,203,866,1
846,Tom LaGarde,201,99,Creighton University,33,206,36%,255,132,582,1
847,Mark Landsberger,201,99,Creighton University,34,184,40%,186,145,477,0
848,Rich Laurel,201,99,Creighton University,35,170,42%,194,115,456,0
849,Ricky Marsh,201,99,Creighton University,36,113,38%,136,66,315,0
850,Cedric Maxwell,208,102,Providence College,23,84,40%,105,16,230,0
851,Larry Moffett,208,102,Providence College,24,14,47%,6,3,32,0
852,Glenn Mosley,203,102,University of Cincinnati,22,41,27%,30,11,91,0
853,Norm Nixon,203,102,University of Cincinnati,23,54,39%,42,17,135,0
854,Ben Poquette,203,102,University of Cincinnati,24,85,36%,86,15,228,0
855,Robert Reid,203,102,University of Cincinnati,24,8,20%,16,0,29,0
856,Anthony Roberts,203,102,University of Cincinnati,24,77,40%,70,15,199,0
857,Tony Robertson,203,102,University of Cincinnati,25,179,36%,155,56,467,0
858,Tree Rollins,203,102,University of Cincinnati,26,272,41%,235,108,697,1
859,Alvin Scott,203,102,University of Cincinnati,26,191,40%,151,76,475,0
860,Steve Sheppard,203,102,University of Cincinnati,26,81,45%,84,32,222,0
861,Jack Sikma,203,102,University of Cincinnati,27,118,39%,172,52,358,0
862,Scott Sims,203,102,University of Cincinnati,28,92,34%,69,48,240,0
863,Robert Smith,201,92,University of Miami,21,745,44%,660,173,2059,1
864,Phil Walker,201,92,University of Miami,22,1011,45%,852,282,2775,1
865,Wilson Washington,201,92,University of Miami,28,737,45%,397,399,1832,1
866,Ray Williams,201,92,University of Miami,29,796,46%,464,484,2009,1
867,Kim Anderson,201,92,University of Miami,30,1028,46%,436,492,2450,1
868,Del Beshore,201,92,University of Miami,31,707,44%,311,496,1701,1
869,Winford Boynes,201,92,University of Miami,32,682,44%,392,475,1723,1
870,Ron Brewer,201,92,University of Miami,33,760,45%,409,446,1898,1
871,Greg Bunch,201,92,University of Miami,34,461,46%,169,502,1082,1
872,Marty Byrnes,201,92,University of Miami,35,252,46%,153,268,866,1
873,Ron Carter,201,88,Elon University,24,1,17%,4,1,5,0
874,Maurice Cheeks,201,113,University of Michigan,23,118,40%,143,36,324,0
875,Michael Cooper,198,95,Ohio Wesleyan University,22,161,41%,78,67,376,0
876,Wayne Cooper,198,95,Ohio Wesleyan University,23,186,42%,90,39,440,0
877,Dave Corzine,198,95,Ohio Wesleyan University,24,301,45%,170,98,725,1
878,Geoff Crompton,198,95,Ohio Wesleyan University,25,235,37%,125,125,552,1
879,Harry Davis,198,95,Ohio Wesleyan University,26,270,45%,140,116,651,1
880,Bob Elliott,198,95,Ohio Wesleyan University,27,247,47%,114,92,577,1
881,Ray Epps,198,95,Ohio Wesleyan University,28,252,52%,90,64,580,1
882,Phil Ford,198,95,Ohio Wesleyan University,29,209,52%,68,115,471,0
883,Jack Givens,198,95,Ohio Wesleyan University,30,163,47%,73,80,388,0
884,Tommie Green,198,95,Ohio Wesleyan University,31,168,47%,60,76,381,0
885,Lars Hansen,198,95,Ohio Wesleyan University,32,70,49%,35,33,171,0
886,James Hardy,198,95,University of North Carolina,22,431,43%,443,207,1143,1
887,Keith Herron,198,95,University of North Carolina,23,556,46%,558,205,1495,1
888,Kenny Higgs,198,95,University of North Carolina,24,516,44%,509,187,1400,1
889,Essie Hollis,198,95,University of North Carolina,25,739,43%,754,287,2034,1
890,Otis Howard,198,95,University of North Carolina,26,802,47%,700,352,2114,1
891,Clemon Johnson,198,95,University of North Carolina,27,702,46%,620,395,1859,1
892,Jeff Judkins,198,95,University of North Carolina,28,658,46%,601,443,1744,1
893,Joel Kramer,198,95,University of North Carolina,31,609,43%,444,442,1563,1
894,Butch Lee,198,95,University of North Carolina,32,103,41%,88,107,274,0
895,John Long,196,88,"University of California, Los Angeles",21,95,36%,65,38,233,0
896,Billy McKinney,196,88,"University of California, Los Angeles",22,235,37%,159,119,587,1
897,Mike Mitchell,196,88,"University of California, Los Angeles",23,377,40%,257,267,948,1
898,John Olive,196,88,"University of California, Los Angeles",24,264,42%,175,194,648,1
899,Roger Phegley,196,88,"University of California, Los Angeles",25,258,46%,122,209,607,1
900,Stan Pietkiewicz,196,88,"University of California, Los Angeles",26,369,47%,112,223,823,1
901,Wayne Radford,196,88,"University of California, Los Angeles",27,40,48%,7,35,86,0
902,Marlon Redmond,196,88,"University of California, Los Angeles",28,299,43%,110,242,687,1
903,Rick Robey,196,88,"University of California, Los Angeles",29,393,48%,221,205,963,1
904,Jackie Robinson,196,88,"University of California, Los Angeles",30,237,43%,156,170,604,1
905,John Rudd,196,88,"University of California, Los Angeles",31,305,47%,157,185,744,1
906,Frankie Sanders,196,88,"University of California, Los Angeles",32,142,48%,50,104,321,0
907,Purvis Short,203,92,Brigham Young University,22,23,26%,20,11,60,0
908,Sam Smith,201,95,Grambling State University,23,0,0%,2,1,1,0
909,Reggie Theus,185,77,"University of California, Los Angeles",22,203,40%,149,103,509,1
910,Mychal Thompson,185,77,"University of California, Los Angeles",23,352,45%,337,210,957,1
911,Raymond Townsend,185,77,"University of California, Los Angeles",24,395,49%,392,205,1092,1
912,Terry Tyler,185,77,"University of California, Los Angeles",25,718,41%,663,518,1931,1
913,Andre Wakefield,185,77,"University of California, Los Angeles",26,568,45%,604,605,1624,1
914,Jerome Whitehead,185,77,"University of California, Los Angeles",27,558,48%,343,380,1380,1
915,Freeman Williams,185,77,"University of California, Los Angeles",28,826,49%,559,365,2127,1
916,Rick Wilson,185,77,"University of California, Los Angeles",29,750,46%,374,332,1814,1
917,James Bailey,185,77,"University of California, Los Angeles",30,784,44%,588,427,2076,1
918,Larry Bird*,185,77,"University of California, Los Angeles",31,656,46%,378,420,1630,1
919,Lawrence Boston,185,77,"University of California, Los Angeles",32,583,44%,346,421,1459,1
920,Dudley Bradley,185,77,"University of California, Los Angeles",33,136,45%,85,74,340,0
921,Bill Cartwright,185,77,"University of California, Los Angeles",34,520,50%,332,388,1304,1
922,Jeff Cook,185,77,"University of California, Los Angeles",35,382,45%,204,357,938,1
923,Hollis Copeland,203,99,Davidson College,23,160,40%,92,27,383,0
924,John Coughran,203,99,Davidson College,24,373,40%,237,111,938,1
925,Terry Crosby,203,99,Davidson College,25,533,41%,474,131,1461,1
926,Pat Cummings,203,99,Davidson College,26,456,44%,357,112,1211,1
927,Paul Dawkins,203,99,Davidson College,26,316,42%,252,83,843,1
928,Greg Deane,203,99,Davidson College,26,140,49%,105,29,368,0
929,Larry Demic,203,99,Davidson College,27,156,48%,85,44,383,0
930,Terry Duerod,203,99,Davidson College,28,111,43%,77,37,282,0
931,Earl Evans,196,92,Indiana University,22,153,42%,79,88,368,0
932,Mike Evans,196,92,Indiana University,23,217,44%,104,93,508,1
933,Gary Garland,196,92,Indiana University,24,316,42%,180,178,788,1
934,Dave Greenwood,196,92,Indiana University,25,662,49%,292,312,1570,1
935,Roy Hamilton,196,92,Indiana University,26,639,53%,198,303,1447,1
936,Gerald Henderson,196,92,Indiana University,27,574,54%,167,305,1292,1
937,Johnny High,196,92,Indiana University,28,374,51%,126,231,857,1
938,Brad Holland,196,92,Indiana University,29,351,50%,73,236,765,1
939,Phil Hubbard,196,92,Indiana University,30,329,48%,80,241,730,1
940,Geoff Huston,196,92,Indiana University,31,323,50%,72,255,709,1
941,Abdul Jeelani,196,92,Indiana University,32,63,43%,10,38,135,0
942,Cheese Johnson,190,83,Miles College,22,1,8%,2,1,3,0
943,Magic Johnson*,196,92,University of Notre Dame,23,186,36%,100,92,426,0
944,Vinnie Johnson,196,92,University of Notre Dame,24,223,37%,133,81,525,1
945,Major Jones,196,88,University of Evansville,23,120,42%,139,110,338,0
946,Greg Kelser,196,88,University of Evansville,24,525,43%,427,170,1390,1
947,Irv Kiffin,196,88,University of Evansville,25,369,39%,386,229,1027,1
948,Carl Kilpatrick,196,88,University of Evansville,26,488,42%,447,276,1309,1
949,Reggie King,196,88,University of Evansville,27,310,42%,318,165,827,1
950,Arvid Kramer,196,88,University of Evansville,28,592,44%,389,281,1462,1
951,Allen Leavell,196,88,University of Evansville,29,535,44%,391,211,1328,1
952,Ollie Mack,196,88,University of Evansville,30,301,41%,133,151,696,1
953,Steve Malovic,196,88,University of Evansville,31,412,45%,273,149,1018,1
954,Paul Mokeski,196,88,University of Evansville,32,380,44%,258,161,953,1
955,Sidney Moncrief,196,88,University of Evansville,33,84,40%,78,22,223,0
956,Calvin Natt,173,77,Duquesne University,23,18,42%,11,9,45,0
957,Sylvester Norris,201,90,Wichita State University,24,373,46%,376,186,1004,1
958,Wiley Peck,201,90,Wichita State University,25,380,47%,320,144,989,1
959,Sam Pellom,201,90,Wichita State University,28,239,43%,225,139,639,1
960,Clint Richardson,201,90,Wichita State University,29,295,43%,230,106,759,1
961,Cliff Robinson,201,90,Wichita State University,30,336,43%,188,158,824,1
962,Jim Spanarkel,201,90,Wichita State University,30,33,38%,35,25,95,0
963,Bernard Toone,201,90,Wichita State University,30,303,44%,153,133,729,1
964,Duck Williams,201,90,Wichita State University,31,180,41%,101,112,438,0
965,Sly Williams,201,90,Wichita State University,32,75,40%,55,25,197,0
966,Bubba Wilson,208,106,Bradley University,25,250,41%,256,78,676,1
967,Tony Zeno,208,106,Bradley University,26,281,43%,262,82,750,1
968,Darrell Allums,208,106,Bradley University,27,206,45%,215,85,551,1
969,Norman Black,196,90,Pepperdine University,24,11,29%,6,10,24,0
970,Michael Brooks,196,90,Pepperdine University,25,15,29%,11,10,36,0
971,Rickey Brown,196,90,Pepperdine University,26,257,42%,171,159,611,1
972,Joe Barry,196,90,Pepperdine University,27,213,42%,142,132,513,1
973,Butch Carter,196,90,Pepperdine University,27,1,13%,5,1,6,0
974,Reggie Carter,196,90,Pepperdine University,27,212,42%,137,131,507,1
975,Art Collins,198,95,Villanova University,22,158,40%,120,43,384,0
976,Don Collins,198,95,Villanova University,23,252,42%,159,56,592,1
977,Darwin Cook,198,95,Villanova University,24,418,46%,274,113,1023,1
978,Earl Cureton,198,95,Villanova University,25,440,43%,356,104,1121,1
979,Monti Davis,198,95,Villanova University,26,401,48%,273,104,1006,1
980,James Donaldson,198,95,Villanova University,27,395,48%,340,97,1049,1
981,Larry Drew,198,95,Villanova University,28,393,44%,323,146,1042,1
982,Ralph Drollinger,198,95,Villanova University,28,68,44%,67,25,191,0
983,John Duren,198,95,Villanova University,28,325,45%,256,121,851,1
984,Tony Fuller,198,95,Villanova University,29,308,43%,224,174,779,1
985,Calvin Garrett,198,95,Villanova University,30,297,49%,196,156,728,1
986,Mike Gminski,198,95,Villanova University,31,191,45%,93,111,444,0
987,Darrell Griffith,198,95,Villanova University,31,114,44%,55,68,269,0
988,Bill Hanzlik,198,95,Villanova University,31,77,48%,38,43,175,0
989,Alan Hardy,188,81,Pennsylvania State University,24,5,50%,5,10,12,0
990,Mike Harper,188,81,Pennsylvania State University,25,295,43%,254,342,803,1
991,Cedrick Hordges,188,81,Pennsylvania State University,26,189,38%,160,199,506,1
992,Lee Johnson,188,81,Pennsylvania State University,26,36,32%,34,27,99,0
993,Reggie Johnson,188,81,Pennsylvania State University,26,153,40%,126,172,407,0
994,Edgar Jones,188,81,Pennsylvania State University,27,365,43%,253,474,943,1
995,Walter Jordan,188,81,Pennsylvania State University,28,278,42%,269,387,782,1
996,Clarence Kea,188,81,Pennsylvania State University,29,358,43%,254,377,928,1
997,Chad Kinch,188,81,Pennsylvania State University,30,279,43%,189,295,717,1
998,Wayne Kreklow,188,81,Pennsylvania State University,31,263,47%,170,303,668,1
999,Bill Laimbeer,188,81,Pennsylvania State University,32,102,39%,67,260,258,0
1000,Edmund Lawrence,188,81,Pennsylvania State University,33,89,49%,48,150,213,0
1001,Ronnie Lester,188,81,Pennsylvania State University,34,62,47%,37,130,153,0
1002,Kyle Macy,208,102,Morehead State University,22,83,36%,37,25,192,0
1003,Rick Mahorn,208,102,Morehead State University,23,46,34%,31,14,112,0
1004,Wes Matthews,183,77,Boston College,22,5,23%,16,4,23,0
1005,Bill Mayfield,203,95,University of Texas at El Paso,22,78,37%,62,41,198,0
1006,Kevin McHale*,203,95,University of Texas at El Paso,23,179,39%,118,134,442,0
1007,Johnny Moore,203,95,University of Texas at El Paso,24,465,43%,310,339,1163,1
1008,Lowes Moore,203,95,University of Texas at El Paso,25,450,45%,366,287,1189,1
1009,Kenny Natt,203,95,University of Texas at El Paso,26,559,44%,402,323,1444,1
1010,Carl Nicks,203,95,University of Texas at El Paso,27,374,41%,292,309,992,1
1011,Mike Niles,203,95,University of Texas at El Paso,28,394,47%,217,301,971,1
1012,Mike O'Koren,203,95,University of Texas at El Paso,29,350,46%,226,209,884,1
1013,Jawann Oldham,203,95,University of Texas at El Paso,30,285,44%,238,176,769,1
1014,Louis Orr,203,95,University of Texas at El Paso,30,215,45%,188,137,586,1
1015,Myles Patrick,203,95,University of Texas at El Paso,30,70,41%,50,39,183,0
1016,Wally Rank,203,95,University of Texas at El Paso,31,164,44%,114,90,418,0
1017,Kelvin Ransey,203,95,University of Texas at El Paso,32,28,44%,18,23,66,0
1018,James Ray,190,81,Syracuse University,23,664,44%,370,330,1601,1
1019,Billy Reid,190,81,Syracuse University,24,835,44%,668,509,2142,1
1020,Wayne Robinson,190,81,Syracuse University,25,678,43%,623,546,1800,1
1021,Lorenzo Romar,190,81,Syracuse University,26,575,44%,580,418,1604,1
1022,DeWayne Scales,190,81,Syracuse University,27,799,47%,772,408,2213,1
1023,Craig Shelton,190,81,Syracuse University,28,369,41%,354,317,1016,1
1024,Jerry Sichting,190,81,Syracuse University,29,692,45%,560,637,1840,1
1025,Larry Smith,190,81,Syracuse University,30,582,44%,438,555,1520,1
1026,Rory Sparrow,190,81,Syracuse University,31,578,43%,424,610,1499,1
1027,John Stroud,190,81,Syracuse University,32,497,45%,422,492,1326,1
1028,Carlos Terry,190,81,Syracuse University,33,271,45%,176,275,678,1
1029,Andrew Toney,190,81,Syracuse University,34,422,45%,296,300,1088,1
1030,Ronnie Valentine,206,93,University of Southern California,22,20,39%,34,5,64,0
1031,Kiki Vandeweghe,206,93,University of Southern California,23,366,42%,394,71,1048,1
1032,Brett Vroman,206,93,University of Southern California,24,448,42%,400,141,1195,1
1033,Hawkeye Whitney,206,93,University of Southern California,25,453,44%,367,137,1193,1
1034,Michael Wiley,206,93,University of Southern California,26,245,42%,270,98,702,1
1035,James Wilkes,206,93,University of Southern California,27,233,44%,275,95,672,1
1036,Jeff Wilkins,206,93,University of Southern California,28,391,44%,378,113,1082,1
1037,Mike Woodson,206,93,University of Southern California,28,311,44%,302,94,858,1
1038,Sam Worthen,206,93,University of Southern California,28,80,44%,76,19,224,0
1039,Mark Aguirre,206,93,University of Southern California,29,275,43%,206,94,714,1
1040,Danny Ainge,206,93,University of Southern California,30,159,46%,144,51,432,0
1041,Gene Banks,206,93,University of Southern California,30,9,31%,10,7,27,0
1042,Rolando Blackman,206,93,University of Southern California,30,150,47%,134,44,405,0
1043,Ray Blume,206,93,University of Southern California,31,2,50%,2,0,4,0
1044,Alex Bradley,208,104,Wichita State University,23,8,38%,8,2,22,0
1045,Charles Bradley,208,104,Wichita State University,24,52,39%,15,20,114,0
1046,Brad Branson,208,104,Wichita State University,25,82,36%,61,53,193,0
1047,Jim Brogan,208,104,Wichita State University,26,98,42%,79,46,237,0
1048,Roger Burkman,208,104,Wichita State University,27,58,39%,38,41,136,0
1049,David Burns,196,83,University of Utah,23,224,45%,93,44,516,1
1050,Bobby Cattage,196,83,University of Utah,26,283,43%,125,54,657,1
1051,Tom Chambers,196,83,University of Utah,27,237,45%,134,61,580,1
1052,Joe Cooper,196,83,University of Utah,28,78,43%,32,23,178,0
1053,Charles Davis,188,79,University of Minnesota,25,331,45%,192,205,798,1
1054,Kenny Dennard,188,79,University of Minnesota,26,628,48%,481,353,1612,1
1055,Mickey Dillard,188,79,University of Minnesota,27,444,48%,314,296,1107,1
1056,John Douglas,188,79,University of Minnesota,28,594,50%,396,380,1499,1
1057,Craig Dykema,188,79,University of Minnesota,29,662,50%,536,440,1746,1
1058,Franklin Edwards,188,79,University of Minnesota,30,712,47%,667,613,1938,1
1059,Petur Gudmundsson,188,79,University of Minnesota,30,11,69%,11,7,29,0
1060,Glenn Hagan,188,79,University of Minnesota,30,701,47%,656,606,1909,1
1061,Steve Hayes,188,79,University of Minnesota,31,302,51%,137,275,715,1
1062,Tracy Jackson,188,79,University of Minnesota,32,315,47%,131,285,733,1
1063,Clay Johnson,188,79,University of Minnesota,33,455,50%,193,433,1071,1
1064,Frank Johnson,188,79,University of Minnesota,34,250,43%,116,218,600,1
1065,Steve Johnson,193,85,St. Bonaventure University,25,44,38%,38,12,112,0
1066,Albert King,193,85,St. Bonaventure University,26,224,44%,179,141,559,1
1067,Jeff Lamp,193,85,St. Bonaventure University,26,65,37%,59,46,167,0
1068,Rock Lee,193,85,St. Bonaventure University,26,159,48%,120,95,392,0
1069,Alton Lister,193,85,St. Bonaventure University,27,211,47%,154,154,505,1
1070,Lewis Lloyd,193,85,St. Bonaventure University,28,243,48%,148,225,587,1
1071,Kevin Loder,193,85,St. Bonaventure University,29,110,39%,98,78,268,0
1072,Rudy Macklin,193,85,St. Bonaventure University,29,36,34%,26,24,88,0
1073,John McCullough,193,85,St. Bonaventure University,29,74,42%,72,54,180,0
1074,Hank McDowell,185,77,University of Rochester,21,6,17%,20,15,21,0
1075,Mike McGee,213,108,University of Dayton,24,17,36%,12,5,41,0
1076,Kevin McKenna,213,108,University of Dayton,25,242,49%,191,72,615,1
1077,Larry Nance,213,108,University of Dayton,26,49,44%,41,21,129,0
1078,Kurt Nimphius,213,108,University of Dayton,27,310,45%,233,103,776,1
1079,Mark Radford,213,108,University of Dayton,28,214,44%,127,79,521,1
1080,Ed Rains,213,108,University of Dayton,29,103,41%,74,61,249,0
1081,Kurt Rambis,213,108,University of Dayton,30,78,45%,52,26,184,0
1082,Jeff Ruland,213,108,University of Dayton,31,60,46%,43,27,148,0
1083,Danny Schayes,213,108,University of Dayton,32,52,40%,43,32,127,0
1084,Jim Smith,196,95,University of Minnesota,22,620,47%,327,95,1471,1
1085,Larry Spriggs,196,95,University of Minnesota,23,227,45%,164,65,574,1
1086,Isiah Thomas*,196,95,University of Minnesota,24,716,49%,435,216,1770,1
1087,Ray Tolbert,196,95,University of Minnesota,25,830,53%,450,276,2031,1
1088,Kelly Tripucka,196,95,University of Minnesota,26,829,48%,502,257,2039,1
1089,Elston Turner,196,95,University of Minnesota,27,775,50%,430,309,1899,1
1090,Darnell Valentine,196,95,University of Minnesota,28,816,48%,481,258,2029,1
1091,Pete Verhoeven,196,95,University of Minnesota,29,678,50%,353,213,1651,1
1092,Jay Vincent,196,95,University of Minnesota,30,97,43%,57,40,242,0
1093,Danny Vranes,196,95,University of Minnesota,31,569,47%,291,214,1375,1
1094,Buck Williams,196,95,University of Minnesota,32,413,46%,169,155,968,1
1095,Herb Williams,196,95,University of Minnesota,33,493,50%,177,193,1123,1
1096,Garry Witts,196,95,University of Minnesota,34,329,52%,124,141,768,1
1097,Al Wood,203,95,Ohio State University,23,59,35%,86,38,175,0
1098,Howard Wood,203,95,Ohio State University,24,44,42%,48,33,111,0
1099,Orlando Woolridge,203,95,Ohio State University,25,177,48%,177,134,464,0
1100,Rich Yonakor,203,95,Ohio State University,26,20,33%,12,12,48,0
1101,Dwight Anderson,198,99,University of Connecticut,24,35,36%,40,13,97,0
1102,Richard Anderson,198,99,University of Connecticut,25,354,40%,306,147,889,1
1103,John Bagley,198,99,University of Connecticut,26,239,45%,250,90,595,1
1104,Dave Batton,198,99,University of Connecticut,27,218,43%,185,95,543,1
1105,Lester Conner,198,99,University of Connecticut,28,111,39%,108,62,273,0
1106,Chubby Cox,198,99,University of Connecticut,29,107,47%,81,60,258,0
1107,Terry Cummings,198,99,University of Connecticut,30,96,44%,67,27,236,0
1108,Quintin Dailey,198,99,University of Connecticut,31,216,47%,185,73,559,1
1109,Mark Eaton,198,99,University of Connecticut,32,7,30%,7,4,20,0
1110,Jerry Eaves,208,92,Vanderbilt University,22,205,41%,166,77,515,1
1111,Keith Edmonson,208,92,Vanderbilt University,23,373,42%,335,135,975,1
1112,Chris Engler,208,92,Vanderbilt University,24,268,40%,256,82,696,1
1113,Bruce Flowers,208,92,Vanderbilt University,25,362,44%,300,80,902,1
1114,Sleepy Floyd,208,92,Vanderbilt University,26,194,45%,199,63,499,0
1115,Bill Garnett,208,92,Vanderbilt University,27,256,47%,222,85,632,1
1116,John Greig,208,92,Vanderbilt University,28,170,47%,131,34,414,0
1117,Scott Hastings,208,92,Vanderbilt University,29,129,45%,107,68,320,0
1118,Rod Higgins,208,92,Vanderbilt University,30,176,41%,177,105,471,0
1119,Craig Hodges,208,92,Vanderbilt University,30,12,33%,39,8,56,0
1120,Marc Iavaroni,208,92,Vanderbilt University,30,164,42%,138,97,415,0
1121,Jim Johnstone,208,92,Vanderbilt University,31,123,44%,95,59,309,0
1122,Hutch Jones,203,97,Southern University and A&M College,24,173,43%,147,49,439,0
1123,Clark Kellogg,203,97,Southern University and A&M College,25,193,42%,114,55,464,0
1124,Joe Kopicki,203,97,Southern University and A&M College,26,108,40%,96,17,287,0
1125,Fat Lever,203,97,Southern University and A&M College,26,39,37%,38,3,107,0
1126,Cliff Levingston,203,97,Southern University and A&M College,26,69,42%,58,14,180,0
1127,Steve Lingenfelter,203,97,Southern University and A&M College,27,640,47%,525,148,1722,1
1128,Dave Magley,203,97,Southern University and A&M College,28,765,45%,619,185,2043,1
1129,Mark McNamara,203,97,Southern University and A&M College,29,819,44%,509,125,2037,1
1130,Guy Morgan,203,97,Southern University and A&M College,30,774,43%,421,119,1895,1
1131,Ed Nealy,203,97,Southern University and A&M College,31,731,42%,395,130,1785,1
1132,Chuck Nevitt,203,97,Southern University and A&M College,32,539,43%,318,102,1342,1
1133,Audie Norris,203,97,Southern University and A&M College,33,543,39%,452,145,1448,1
1134,Eddie Phillips,203,97,Southern University and A&M College,34,162,38%,132,48,433,0
1135,Ricky Pierce,203,97,Southern University and A&M College,34,68,34%,46,23,171,0
1136,Charles Pittman,203,97,Southern University and A&M College,34,49,46%,39,4,131,0
1137,Paul Pressey,203,97,Southern University and A&M College,34,45,37%,47,21,131,0
1138,Oliver Robinson,201,90,Duke University,22,283,45%,187,75,711,1
1139,Walker Russell,201,90,Duke University,23,429,46%,314,110,1108,1
1140,Mike Sanders,201,90,Duke University,24,505,46%,352,231,1302,1
1141,Russ Schoene,201,90,Duke University,25,666,49%,339,217,1618,1
1142,Ed Sherod,201,90,Duke University,26,626,46%,342,217,1542,1
1143,Jose Slaughter,201,90,Duke University,27,690,48%,398,169,1736,1
1144,Brook Steppe,201,90,Duke University,28,624,47%,292,291,1496,1
1145,Jeff Taylor,201,90,Duke University,29,355,50%,179,167,863,1
1146,Vince Taylor,201,90,Duke University,29,210,47%,98,121,502,1
1147,Terry Teagle,201,90,Duke University,29,145,55%,81,46,361,0
1148,David Thirdkill,201,90,Duke University,30,380,46%,222,133,953,1
1149,Corny Thompson,201,90,Duke University,31,343,42%,188,141,847,1
1150,LaSalle Thompson,201,90,Duke University,31,41,44%,33,23,109,0
1151,Darren Tillis,201,90,Duke University,31,302,42%,155,118,738,1
1152,Linton Townes,201,90,Duke University,32,167,47%,39,62,365,0
1153,Trent Tucker,185,74,Villanova University,22,138,39%,60,98,315,0
1154,Bryan Warrick,185,74,Villanova University,23,146,44%,47,105,325,0
1155,Rory White,203,104,Lewis University,23,19,37%,13,2,45,0
1156,Dominique Wilkins*,185,83,University of Wyoming,25,274,46%,154,110,668,1
1157,Rickey Williams,185,83,University of Wyoming,26,444,44%,351,219,1176,1
1158,Rob Williams,185,83,University of Wyoming,26,3,30%,7,5,9,0
